Ammonia MQ135,Co2,Alcohol,Methane,Hydrogen Sulfide,LPG,Hydrogen,Ammonia MQ137,label,Time,TVC
0.99,605.18,44.46,62.31,0.45,0.69,54.89,0.25,1,0.027222222,3.57
1.32,605.18,42.89,62.7,0.45,0.69,54.97,0.26,1,0.0275,3.57
1.12,605.18,46.26,62.31,0.45,0.68,54.87,0.25,1,0.027777778,3.57
1.13,605.18,45.54,62.5,0.45,0.69,54.95,0.24,1,0.028055556,3.57
1.09,605.18,44.46,62.7,0.45,0.69,54.93,0.26,1,0.028333333,3.57
1.13,605.18,44.11,62.5,0.45,0.69,54.91,0.25,1,0.028611111,3.57
1.15,605.18,44.64,62.89,0.45,0.69,54.95,0.26,1,0.028888889,3.57
1.16,605.18,44.64,62.31,0.45,0.69,55,0.26,1,0.029166667,3.57
1.14,605.18,44.46,63.09,0.45,0.69,55,0.26,1,0.029444444,3.57
1.15,605.18,44.46,63.09,0.46,0.67,54.91,0.26,1,0.029722222,3.57
1.15,605.18,44.82,62.7,0.45,0.69,54.98,0.26,1,0.03,3.57
1.15,605.18,44.82,62.31,0.45,0.68,55,0.25,1,0.030277778,3.57
1.16,605.18,45.18,61.16,0.45,0.68,55,0.25,1,0.030555556,3.57
1.15,605.18,44.73,61.93,0.46,0.68,54.89,0.25,1,0.030833333,3.57
1.15,605.18,47.93,63.09,0.45,0.69,55.14,0.26,1,0.031111111,3.57
1.19,605.18,44.91,62.7,0.46,0.67,54.98,0.26,1,0.031388889,3.57
1.17,605.18,44.82,63.67,0.46,0.67,55.1,0.25,1,0.031666667,3.57
1.17,605.18,44.73,63.09,0.45,0.65,54.91,0.26,1,0.031944444,3.57
1.16,605.18,44.64,62.7,0.46,0.66,55.14,0.26,1,0.032222222,3.57
1.18,605.18,45.18,63.09,0.46,0.66,54.98,0.25,1,0.0325,3.57
1.17,605.18,44.82,61.35,0.46,0.65,55.12,0.26,1,0.032777778,3.57
1.17,605.18,44.64,63.09,0.46,0.66,55.15,0.25,1,0.033055556,3.57
1.2,605.18,44.73,62.89,0.46,0.66,54.93,0.27,1,0.033333333,3.57
1.17,605.18,46.26,62.89,0.46,0.65,55.15,0.24,1,0.033611111,3.57
1.18,605.18,44.64,62.7,0.46,0.65,55.23,0.25,1,0.033888889,3.57
1.2,605.18,45,63.87,0.47,0.64,55.17,0.24,1,0.034166667,3.57
1.18,605.18,45.18,62.7,0.46,0.64,55.25,0.22,1,0.034444444,3.57
1.19,605.18,44.82,63.28,0.46,0.65,55.17,0.24,1,0.034722222,3.57
1,605.18,44.82,62.7,0.47,0.65,55.21,0.25,1,0.035,3.57
1.19,605.18,45.18,62.89,0.47,0.66,55.92,0.25,1,0.035277778,3.57
1.19,605.18,45.54,62.7,0.47,0.64,55.21,0.25,1,0.035555556,3.57
1.19,605.18,44.82,63.28,0.48,0.67,55.48,0.26,1,0.035833333,3.57
1.2,605.18,43.58,62.5,0.46,0.66,55.23,0.25,1,0.036111111,3.57
1.2,605.18,44.73,63.09,0.47,0.68,55.23,0.25,1,0.036388889,3.57
1.19,605.18,45.36,63.09,0.48,0.79,55.23,0.26,1,0.036666667,3.57
1.2,605.18,44.82,63.09,0.47,0.76,55.29,0.26,1,0.036944444,3.57
1.23,605.18,44.73,63.48,0.47,0.87,55.21,0.25,1,0.037222222,3.57
1.19,605.18,44.73,63.09,0.45,0.78,55.27,0.25,1,0.0375,3.57
1.2,605.18,44.64,62.89,0.47,0.78,55.33,0.26,1,0.037777778,3.57
1.2,605.18,44.64,63.09,0.47,0.77,55.1,0.22,1,0.038055556,3.57
1.21,605.18,45,63.09,0.47,0.77,55.21,0.25,1,0.038333333,3.57
1.21,605.18,44.73,62.7,0.47,0.8,55.21,0.25,1,0.038611111,3.57
1.21,605.18,45.09,63.09,0.47,0.76,55.19,0.18,1,0.038888889,3.57
1.23,605.18,44.82,63.28,0.48,0.75,55.29,0.22,1,0.039166667,3.57
1.23,605.18,45.18,62.31,0.48,0.77,55.29,0.26,1,0.039444444,3.57
1.21,605.18,44.82,63.09,0.48,0.76,55.29,0.26,1,0.039722222,3.57
1.23,605.18,45,63.28,0.48,0.76,55.23,0.26,1,0.04,3.57
1.23,605.18,44.64,69.75,0.47,0.76,55.29,0.26,1,0.040277778,3.57
1.23,605.18,45,63.48,0.48,0.76,55.29,0.25,1,0.040555556,3.57
1.23,605.18,44.73,61.93,0.48,0.74,55.29,0.26,1,0.040833333,3.57
1.23,605.18,44.82,63.09,0.48,0.74,55.29,0.26,1,0.041111111,3.57
1.29,605.18,44.82,63.09,0.48,0.74,55.53,0.29,1,0.041388889,3.57
1.25,605.18,44.82,63.48,0.48,0.74,55.33,0.26,1,0.041666667,3.57
1.24,605.18,44.82,63.09,0.48,0.74,55.44,0.26,1,0.041944444,3.57
1.24,605.18,45.18,62.7,0.48,0.74,55.31,0.26,1,0.042222222,3.57
1.24,605.18,44.73,63.48,0.48,0.73,55.33,0.25,1,0.0425,3.57
1.25,605.18,44.73,63.48,0.48,0.73,55.34,0.26,1,0.042777778,3.57
1.24,605.18,45.18,64.46,0.48,0.72,55.36,0.26,1,0.043055556,3.57
1.25,605.18,44.55,63.09,0.48,0.72,55.36,0.25,1,0.043333333,3.57
1.26,605.18,45.18,63.09,0.48,0.72,55.38,0.26,1,0.043611111,3.57
1.11,605.18,45.09,63.09,0.48,0.73,55.38,0.26,1,0.043888889,3.57
1.25,605.18,45.18,62.89,0.48,0.73,55.4,0.25,1,0.044166667,3.57
1.26,605.18,45.18,63.48,0.49,0.72,55.44,0.26,1,0.044444444,3.57
1.26,605.18,46.08,63.48,0.49,0.72,55.38,0.27,1,0.044722222,3.57
1.26,605.18,44.64,62.89,0.48,0.72,55.4,0.26,1,0.045,3.57
1.26,605.18,45.18,63.87,0.48,0.74,55.4,0.26,1,0.045277778,3.57
1.26,605.18,43.06,63.67,0.49,0.73,55.46,0.26,1,0.045555556,3.57
1.26,605.18,39.38,63.28,0.48,0.72,55.42,0.26,1,0.045833333,3.57
1.26,605.18,43.41,63.28,0.49,0.73,55.38,0.26,1,0.046111111,3.57
1.27,605.18,45,63.48,0.49,0.72,55.34,0.25,1,0.046388889,3.57
1.27,605.18,44.91,63.09,0.49,0.72,55.4,0.26,1,0.046666667,3.57
1.27,605.18,45,63.67,0.49,0.72,55.46,0.26,1,0.046944444,3.57
1.27,605.18,45.27,63.67,0.49,0.72,55.4,0.26,1,0.047222222,3.57
1.27,605.18,45.54,63.09,0.49,0.71,55.48,0.26,1,0.0475,3.57
1.27,605.18,45.72,63.09,0.49,0.71,55.44,0.26,1,0.047777778,3.57
1.27,605.18,44.82,63.48,0.49,0.73,55.44,0.26,1,0.048055556,3.57
1.27,605.18,44.82,63.09,0.49,0.73,55.46,0.26,1,0.048333333,3.57
1.27,605.18,45.27,63.09,0.49,0.74,55.52,0.26,1,0.048611111,3.57
1.28,605.18,45.09,63.28,0.49,0.71,55.46,0.28,1,0.048888889,3.57
1.29,605.18,45,67.27,0.49,0.71,55.5,0.48,1,0.049166667,3.57
1.28,605.18,45.09,63.48,0.49,0.82,55.44,0.26,1,0.049444444,3.57
1.29,605.18,44.82,63.28,0.49,0.75,55.5,0.27,1,0.049722222,3.57
1.29,605.18,45.18,63.67,0.49,0.76,55.5,0.26,1,0.05,3.57
1.27,605.18,44.82,63.87,0.5,0.7,55.48,0.28,1,0.050277778,3.57
1.3,605.18,44.82,63.67,0.49,0.7,55.52,0.27,1,0.050555556,3.57
1.3,605.18,45,63.87,0.49,0.9,55.52,0.26,1,0.050833333,3.57
1.29,605.18,45.54,61.16,0.49,0.93,55.55,0.26,1,0.051111111,3.57
1.31,605.18,45.36,65.25,0.5,0.96,55.59,0.26,1,0.051388889,3.57
1.29,605.18,45.54,64.66,0.5,0.84,55.59,0.27,1,0.051666667,3.57
1.31,605.18,45,64.86,0.5,0.84,55.53,0.27,1,0.051944444,3.57
1.31,605.18,45.45,63.48,0.5,0.84,55.61,0.27,1,0.052222222,3.57
1.31,605.18,45.09,62.7,0.49,0.88,55.59,0.26,1,0.0525,3.57
1.31,605.18,45.18,63.67,0.5,0.9,55.53,0.25,1,0.052777778,3.57
1.32,605.18,45.09,64.06,0.5,0.89,55.53,0.26,1,0.053055556,3.57
1.31,605.18,45.54,64.06,0.5,0.86,55.67,0.26,1,0.053333333,3.57
1.32,605.18,45.54,63.87,0.5,0.86,55.52,0.26,1,0.053611111,3.57
1.31,605.18,45.36,66.26,0.5,0.89,55.46,0.27,1,0.053888889,3.57
1.29,605.18,44.91,63.09,0.49,0.89,55.44,0.26,1,0.054166667,3.57
1.31,605.18,44.64,63.09,0.5,0.82,55.44,0.27,1,0.054444444,3.57
1.31,605.18,45,63.67,0.5,0.84,55.46,0.27,1,0.054722222,3.57
1.31,605.18,44.64,62.89,0.5,0.93,55.52,0.27,1,0.055,3.57
1.16,605.18,41.69,59.84,0.46,0.89,62.37,0.22,1,0.055277778,3.57
1.27,605.18,43.93,61.93,0.48,0.91,60.71,0.26,1,0.055555556,3.57
1.28,605.18,44.11,62.31,0.48,0.93,60.16,0.26,1,0.055833333,3.57
1.26,605.18,43.67,62.31,0.48,0.91,59.27,0.25,1,0.056111111,3.57
1.28,605.18,43.93,62.12,0.48,0.91,58.91,0.26,1,0.056388889,3.57
1.32,605.18,44.11,63.09,0.48,0.92,58.61,0.26,1,0.056666667,3.57
1.31,605.18,44.11,62.31,0.48,0.92,58.31,0.26,1,0.056944444,3.57
1.31,605.18,44.28,62.31,0.49,0.93,58.03,0.26,1,0.057222222,3.57
1.32,605.18,43.93,62.31,0.48,0.93,57.84,0.26,1,0.0575,3.57
1.31,605.18,43.93,62.31,0.48,0.92,57.76,0.26,1,0.057777778,3.57
